location,model,face,whole,square,square diff,square error,rectangle,rectangle diff,rectangle error,circle,circle diff,circle error
pool,pool4,side3,3.99372731,41.3776156,1.0551156,0.026166919,13.219962,0.316762,0.024549104,,,
pool,pool4,side3,3.99372731,42.8848632,2.5623632,0.063546734,13.2718758,0.3686758,0.028572432,,,
pool,pool4,side4,3.99372731,48.69735,8.37485,0.207696695,13.6898515,0.7866515,0.060965613,46.5736818,0.97000868,0.021270407
pool,pool4,side4,3.99372731,41.1575307,0.8350307,0.020708803,8.36235681,4.54084319,0.351916051,,,
pool,pool4,side4,3.99372731,40.8377738,0.5152738,0.012778816,12.8243243,0.0788757,0.006112879,,,
pool,pool4,side4,3.99372731,40.4466931,0.1241931,0.003079995,12.3782916,0.5249084,0.040680482,,,
pool,pool5,top,6.30547547,42.0734918,1.7509918,0.043424683,12.7086852,0.1945148,0.015074927,44.3754362,1.22823692,0.026932851
pool,pool5,top,6.30547547,40.6887919,0.3662919,0.009084057,12.9609925,0.0577925,0.004478928,,,
pool,pool5,top,6.30547547,40.4761565,0.1536565,0.003810689,12.6529891,0.2502109,0.019391384,,,
pool,pool5,top,6.30547547,42.1036205,1.7811205,0.044171877,13.160891,0.257691,0.019971092,,,
pool,pool5,side1,6.30547547,40.0558151,0.2666849,0.006613799,12.1179286,0.7852714,0.060858655,45.8807466,0.27707348,0.006075683
pool,pool5,side1,6.30547547,41.1800277,0.8575277,0.021266729,11.5787134,1.3244866,0.102647917,,,
pool,pool5,side1,6.30547547,39.86076,0.46174,0.011451175,13.1689223,0.2657223,0.020593519,,,
pool,pool5,side1,6.30547547,41.8166456,1.4941456,0.037054885,12.8070623,0.0961377,0.007450687,,,
pool,pool5,side2,6.30547547,45.2991731,4.9766731,0.12342174,12.739103,0.164097,0.012717543,44.7025756,0.90109752,0.019759319
pool,pool5,side2,6.30547547,40.3065535,0.0159465,0.000395474,9.84751186,3.05568814,0.236816304,,,
pool,pool5,side2,6.30547547,41.1287999,0.8062999,0.019996278,11.8773841,1.0258159,0.079500891,,,
pool,pool5,side2,6.30547547,39.9609154,0.3615846,0.008967316,12.8255568,0.0776432,0.00601736,,,
pool,pool5,side3,6.30547547,42.1992498,1.8767498,0.046543488,12.6751592,0.2280408,0.017673197,42.5142876,3.08938552,0.067744226
pool,pool5,side3,6.30547547,39.2224056,1.1000944,0.027282396,11.6619533,1.2412467,0.096196812,,,
pool,pool5,side3,6.30547547,40.7132656,0.3907656,0.009691006,12.722818,0.180382,0.013979633,,,
pool,pool5,side3,6.30547547,39.1303144,1.1921856,0.029566262,12.964098,0.060898,0.004719604,,,
pool,pool5,side4,6.30547547,39.671461,0.651039,0.016145799,12.619879,0.283321,0.021957421,45.1685451,0.43512802,0.009541513
pool,pool5,side4,6.30547547,39.7385806,0.5839194,0.01448123,11.747732,1.155468,0.089548949,,,
pool,pool5,side4,6.30547547,39.3515737,0.9709263,0.02407902,11.8442642,1.0589358,0.082067689,,,
pool,pool5,side4,6.30547547,40.1163006,0.2061994,0.005113755,13.0769819,0.1737819,0.013468124,,,
