"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"site",3,0.973175352233163,0.324391784077721,0.733302845368079,0.00790765370010443,0.584100415899584
"Residuals",276,122.094347473192,0.442370824178234,NA,0.992092346299896,NA
"Total",279,123.067522825426,NA,NA,1,NA
