"","Comparison","Z","P.unadj","P.adj"
"1","LBTS - Pool",1.44753639814665,0.147746749852228,0.147746749852228
"2","LBTS - SLR",-3.84525139386346,0.000120428907903584,0.000180643361855376
"3","Pool - SLR",-5.39264475634613,6.94281275204348e-08,2.08284382561304e-07
"4","LBTS - Pool",3.70294557424177,0.000213110614089028,0.000319665921133542
"5","LBTS - SLR",-1.10622604661937,0.268628691759716,0.268628691759716
"6","Pool - SLR",-4.5368985525025,5.70875502772687e-06,1.71262650831806e-05
"7","LBTS - Pool",2.48777414129032,0.0128545339815155,0.0192818009722732
"8","LBTS - SLR",-0.650143638684594,0.51559944329344,0.51559944329344
"9","Pool - SLR",-2.83699163778146,0.00455408047319184,0.0136622414195755
