number,colony.id,site,date,total.colony.size,disease.area,healthy.area,total.model.area,cowtag.average,cowtag.area,tag.diff,lesion count,rate,loss
37,MCAV170,FTL4,9.11.18,0.024653076,0.013342965,0.011310112,4.88091739,31.23689,73.785863,42.548973,1,37.44302494,-42.02059904
38,MCAV172,T328,9.11.18,0.289099245,0.0123033,0.276795945,16.288674,31.23689,42.3734812,11.1365912,10,-26.4890376,-194.9138378
39,MCAV173,T328,9.11.18,0.083118843,0.012781636,0.070337207,12.1643643,31.23689,37.7266571,6.4897671,14,24.70919242,-32.97695796
40,MCAV175,T328,9.11.18,0.619719079,0.002578068,0.617141011,10.7331433,31.23689,27.3131506,-3.9237394,6,6.215122268,-15.33225093
41,MCAV181,FTL4,9.11.18,0.544901965,0.003657119,0.541244846,10.4704392,31.23689,34.5446548,3.3077648,15,-148.0153176,-443.3102554
42,MCAV182,FTL4,9.11.18,0.653944981,0.000172953,0.653772028,7.64498496,31.23689,33.5941047,2.3572147,1,-5.223819587,76.2824654
43,MCAV183,FTL4,9.11.18,0.025377518,0.004822082,0.020555437,6.57379101,31.23689,34.1279694,2.8910794,4,9.953140583,-5.533986926
44,MCAV184,FTL4,9.11.18,0.094094619,0.020239826,0.073854793,6.43329794,31.23689,35.813559,4.576669,13,-2.480789553,-30.24525225
45,MCAV185,FTL4,9.11.18,0.282587572,0.005518712,0.27706886,5.76936457,31.23689,35.0560849,3.8191949,5,14.37214781,-143.1368421
46,MCAV186,FTL4,9.11.18,0.323044356,0.003027651,0.320016705,16.1650154,31.23689,36.4923477,5.2554577,3,7.556898912,-60.26806485
47,MCAV195,T328,9.11.18,0.07263421,0.010415655,0.062218554,16.707881,31.23689,34.4127796,3.1758896,11,31.07709583,-34.47410118
48,MCAV199,T328,9.11.18,0.438282011,0.015492479,0.422789532,8.83880873,31.23689,33.2690282,2.0321382,20,-22.82809958,-144.8533073
49,MCAV51,BC1,11.8.18,0.161775037,0.008406423,0.153368614,6.55616358,31.23689,31.5234132,0.2865232,2,5.971108232,-25.34395483
50,MCAV55,BC1,11.8.18,0.059182758,0.005296349,0.053886409,8.02793972,31.23689,33.718512,2.481622,2,-0.553951104,-3.433110138
51,MCAV56,BC1,11.8.18,0.078484539,0.000506982,0.077977556,6.61127721,31.23689,33.1437798,1.9068898,2,-2.635452378,-22.78033699
52,MCAV58,BC1,11.8.18,0.243534507,0.009908575,0.233625932,8.20512281,31.23689,36.9920732,5.7551832,4,-0.637190771,26.15235146
53,MCAV63,BC1,11.8.18,0.038310764,0.010250544,0.028060219,10.8208346,31.23689,36.1703486,4.9334586,4,5.142280041,-25.91166985
54,MCAV64,BC1,11.8.18,0.174056271,0.007301199,0.166755072,12.5353541,31.23689,27.6188902,-3.6179998,9,-1.067079066,-6.410976247
55,MCAV67,BC1,11.8.18,0.136281098,0.06519816,0.071082938,6.55568891,31.23689,34.2317395,2.9948495,6,21.2970871,-158.2722543
56,MCAV70,BC1,11.8.18,0,0,0,11.8053146,31.23689,35.1111991,3.8743091,1,-8.555441378,-8.555441368
57,MCAV161,T328,11.8.18,1.51327769,0.073929177,1.439348513,16.3227592,31.23689,30.1665187,-1.0703713,17,59.37672077,-39.12024437
58,MCAV165,FTL4,11.8.18,0.196345314,0.002754729,0.193590585,8.87402816,31.23689,32.3813109,1.1444209,1,1.58921964,-28.86677062
59,MCAV166,T328,11.8.18,0.112658988,0.000228458,0.11243053,9.26987512,31.23689,33.0555325,1.8186425,1,-5.27790165,1.826979221
60,MCAV168,FTL4,11.8.18,0.098170697,0.008987739,0.089182958,12.0262887,31.23689,36.3315883,5.0946983,5,-12.86710758,-6.557090098
61,MCAV170,FTL4,11.8.18,0,0,0,7.79187324,31.23689,34.3600931,3.1232031,1,-16.10358629,-29.75372805
62,MCAV172,T328,11.8.18,0.253388207,0.023971533,0.229416674,20.1470225,31.23689,40.5555153,9.3186253,9,14.08235856,-43.09955091
63,MCAV173,T328,11.8.18,0.060855476,0.009408327,0.051447149,16.9378323,31.23689,38.3043243,7.0674343,14,-4.07123771,-26.86959548
64,MCAV175,T328,11.8.18,0.622555521,0.000457579,0.622097942,10.5003797,31.23689,30.2376196,-0.9992704,1,-2.559212256,3.42329384
65,MCAV181,FTL4,11.8.18,0.519117649,0.019064627,0.500053022,13.7599344,31.23689,34.8185893,3.5816993,22,18.59527806,-31.11901817
66,MCAV182,FTL4,11.8.18,0.584383292,0.000121003,0.584262289,11.658795,31.23689,40.0477449,8.8108549,1,-0.062698569,-83.95380601
67,MCAV183,FTL4,11.8.18,0.012651168,0.004764108,0.00788706,10.8275854,31.23689,32.5699044,1.3330144,2,-0.069968595,-15.35939636
68,MCAV184,FTL4,11.8.18,0.041950841,0.008629694,0.033321148,16.5288158,31.23689,36.1564936,4.9196036,6,-14.0122363,-62.93217805
69,MCAV185,FTL4,11.8.18,0.275073872,0.004806518,0.270267354,8.10015247,31.23689,30.7349459,-0.5019441,7,-0.859544764,-9.068263311
70,MCAV186,FTL4,11.8.18,0.308767245,0.000581099,0.308186146,20.0145565,31.23689,34.2489249,3.0120349,2,-2.952736678,-17.23100495
71,MCAV195,T328,11.8.18,0.056086827,0.007436924,0.048649903,16.4656705,31.23689,34.2714455,3.0345555,7,-3.595022939,-19.97098993
72,MCAV199,T328,11.8.18,0.466048214,0.020492591,0.445555623,11.2193887,31.23689,35.3785558,4.1416658,14,6.034620061,33.51095199
73,MCAV51,BC1,12.17.18,0.162030953,0.0150053,0.147025653,5.68079501,31.23689,36.0850934,4.8482034,2,11.84413574,0.459336292
74,MCAV55,BC1,12.17.18,0.062498699,0.003064455,0.059434244,15.0006095,31.23689,32.9245817,1.6876917,4,-4.00596264,5.951688346
75,MCAV56,BC1,12.17.18,0.082299532,0,0.082299532,15.3021748,31.23689,37.7915739,6.5546839,1,-0.909967869,6.847421398
76,MCAV58,BC1,12.17.18,0.228978264,0.00796571,0.221012554,10.7294589,31.23689,33.7744181,2.5375281,6,-3.487191604,-26.1265833
77,MCAV63,BC1,12.17.18,0.012936623,0.003774419,0.009162204,11.5414078,31.23689,31.0055942,-0.2312958,2,-11.62381117,-45.5433176
78,MCAV64,BC1,12.17.18,0.168867396,0.002045114,0.166822282,7.78817132,31.23689,25.5695487,-5.6673413,1,-9.433995494,-9.313362997
79,MCAV67,BC1,12.17.18,0.026883272,0.017829842,0.00905343,7.43992136,31.23689,32.5677664,1.3308764,3,-85.0200369,-196.3550225
80,MCAV70,BC1,12.17.18,0,0,0,7.81076462,31.23689,37.6324339,6.3955439,2,0,0
81,MCAV161,T328,12.17.18,1.33742652,0.057460507,1.279966013,15.9795146,31.23689,,,20,-29.55914347,-315.6302242
82,MCAV165,FTL4,12.17.18,0.195944586,0.001598562,0.194346024,13.7608166,31.23689,32.926572,1.689682,5,-2.075172643,-0.7192552
83,MCAV166,T328,12.17.18,0.107352576,0.107555922,-0.000203346,21.1297564,31.23689,40.4932527,9.2563627,2,192.6389896,-9.524326789
84,MCAV168,FTL4,12.17.18,0.087106337,0.005132458,0.081973879,15.2551034,31.23689,31.1629345,-0.0739555,8,-6.919732873,-19.85910278
85,MCAV170,FTL4,12.17.18,0,0,0,4.00206652,31.23689,29.2276579,-2.0092321,1,0,0
86,MCAV172,T328,12.17.18,0.173695678,0.02375002,0.149945658,29.099241,31.23689,35.6158013,4.3789113,10,-0.397588693,-143.0378359
87,MCAV173,T328,12.17.18,0.041543826,0.010297611,0.031246214,8.64743243,31.23689,37.3773987,6.1405087,14,1.596151338,-34.66192701
88,MCAV175,T328,12.17.18,0.683079906,0,0.683079906,24.9180289,31.23689,34.2722847,3.0353947,1,-0.821295416,108.6334837
89,MCAV181,FTL4,12.17.18,0.36043547,0.012815348,0.347620122,6.3768638,31.23689,26.3216719,-4.9152181,19,-11.2166521,-284.8140944
90,MCAV182,FTL4,12.17.18,0.584972944,0,0.584972944,6.44741956,31.23689,32.338319,1.101429,1,-0.21718529,1.058349472
91,MCAV183,FTL4,12.17.18,0,0,0,12.66072,31.23689,35.1121519,3.8752619,1,-8.550960274,-22.70721843
92,MCAV184,FTL4,12.17.18,0.030452013,0.004808413,0.0256436,12.1491825,31.23689,33.7346249,2.4977349,3,-6.85870712,-20.6389173
93,MCAV185,FTL4,12.17.18,0.277720604,0.000469091,0.277251513,9.39451293,31.23689,37.3004554,6.0635654,1,-7.785124555,4.750543397
94,MCAV186,FTL4,12.17.18,0.313583619,4.07E-05,0.313542878,22.8481613,31.23689,34.3726758,3.1357858,1,-0.969873718,8.64477163
95,MCAV195,T328,12.17.18,0.038953728,0.002884842,0.036068886,8.69594158,31.23689,33.444173,2.207283,11,-8.1704002,-30.75170791
96,MCAV199,T328,12.17.18,0.433165974,0.011527353,0.421638621,15.4489611,31.23689,35.2497112,4.0128212,5,-16.09144813,-59.01939
