number,colony.id,site,date,total.colony.size,disease.area,healthy.area,total.model.area,lesion count,rate,loss
60,MCAV168,FTL4,11.8.18,0.098170697,0.008987739,0.089182958,12.0262887,5,-12.86710758,-6.557090098
61,MCAV170,FTL4,11.8.18,0,0,0,7.79187324,1,-16.10358629,-29.75372805
62,MCAV172,T328,11.8.18,0.253388207,0.023971533,0.229416674,20.1470225,9,14.08235856,-43.09955091
63,MCAV173,T328,11.8.18,0.060855476,0.009408327,0.051447149,16.9378323,14,-4.07123771,-26.86959548
64,MCAV175,T328,11.8.18,0.622555521,0.000457579,0.622097942,10.5003797,1,-2.559212256,3.42329384
65,MCAV181,FTL4,11.8.18,0.519117649,0.019064627,0.500053022,13.7599344,22,18.59527806,-31.11901817
66,MCAV182,FTL4,11.8.18,0.584383292,0.000121003,0.584262289,11.658795,1,-0.062698569,-83.95380601
67,MCAV183,FTL4,11.8.18,0.012651168,0.004764108,0.00788706,10.8275854,2,-0.069968595,-15.35939636
68,MCAV184,FTL4,11.8.18,0.041950841,0.008629694,0.033321148,16.5288158,6,-14.0122363,-62.93217805
69,MCAV185,FTL4,11.8.18,0.275073872,0.004806518,0.270267354,8.10015247,7,-0.859544764,-9.068263311
70,MCAV186,FTL4,11.8.18,0.308767245,0.000581099,0.308186146,20.0145565,2,-2.952736678,-17.23100495
71,MCAV195,T328,11.8.18,0.056086827,0.007436924,0.048649903,16.4656705,7,-3.595022939,-19.97098993
72,MCAV199,T328,11.8.18,0.466048214,0.020492591,0.445555623,11.2193887,14,6.034620061,33.51095199
73,MCAV51,BC1,12.17.18,0.162030953,0.0150053,0.147025653,5.68079501,2,11.84413574,0.459336292
74,MCAV55,BC1,12.17.18,0.062498699,0.003064455,0.059434244,15.0006095,4,-4.00596264,5.951688346
75,MCAV56,BC1,12.17.18,0.082299532,0,0.082299532,15.3021748,1,-0.909967869,6.847421398
76,MCAV58,BC1,12.17.18,0.228978264,0.00796571,0.221012554,10.7294589,6,-3.487191604,-26.1265833
77,MCAV63,BC1,12.17.18,0.012936623,0.003774419,0.009162204,11.5414078,2,-11.62381117,-45.5433176
78,MCAV64,BC1,12.17.18,0.168867396,0.002045114,0.166822282,7.78817132,1,-9.433995494,-9.313362997
79,MCAV67,BC1,12.17.18,0.026883272,0.017829842,0.00905343,7.43992136,3,-85.0200369,-196.3550225
80,MCAV70,BC1,12.17.18,0,0,0,7.81076462,2,0,0
81,MCAV161,T328,12.17.18,1.33742652,0.057460507,1.279966013,15.9795146,20,-29.55914347,-315.6302242
82,MCAV165,FTL4,12.17.18,0.195944586,0.001598562,0.194346024,13.7608166,5,-2.075172643,-0.7192552
83,MCAV166,T328,12.17.18,0.107352576,0.107555922,-0.000203346,21.1297564,2,192.6389896,-9.524326789
84,MCAV168,FTL4,12.17.18,0.087106337,0.005132458,0.081973879,15.2551034,8,-6.919732873,-19.85910278
85,MCAV170,FTL4,12.17.18,0,0,0,4.00206652,1,0,0
86,MCAV172,T328,12.17.18,0.173695678,0.02375002,0.149945658,29.099241,10,-0.397588693,-143.0378359
87,MCAV173,T328,12.17.18,0.041543826,0.010297611,0.031246214,8.64743243,14,1.596151338,-34.66192701
88,MCAV175,T328,12.17.18,0.683079906,0,0.683079906,24.9180289,1,-0.821295416,108.6334837
89,MCAV181,FTL4,12.17.18,0.36043547,0.012815348,0.347620122,6.3768638,19,-11.2166521,-284.8140944
90,MCAV182,FTL4,12.17.18,0.584972944,0,0.584972944,6.44741956,1,-0.21718529,1.058349472
91,MCAV183,FTL4,12.17.18,0,0,0,12.66072,1,-8.550960274,-22.70721843
92,MCAV184,FTL4,12.17.18,0.030452013,0.004808413,0.0256436,12.1491825,3,-6.85870712,-20.6389173
93,MCAV185,FTL4,12.17.18,0.277720604,0.000469091,0.277251513,9.39451293,1,-7.785124555,4.750543397
94,MCAV186,FTL4,12.17.18,0.313583619,4.07E-05,0.313542878,22.8481613,1,-0.969873718,8.64477163
95,MCAV195,T328,12.17.18,0.038953728,0.002884842,0.036068886,8.69594158,11,-8.1704002,-30.75170791
96,MCAV199,T328,12.17.18,0.433165974,0.011527353,0.421638621,15.4489611,5,-16.09144813,-59.01939
