number,colony.id,site,t1,total.colony.size.t1,disease.area.t1,healthy.area.t1,total.model.area.t1,t2,total.colony.size.t2,disease.area.t2,healthy.area.t2,total.model.area.t2,t3,total.colony.size.t3,disease.area.t3,healthy.area.t3,total.model.area.t3,t4,total.colony.size.t4,disease.area.t4,healthy.area.t4,total.model.area.t4,prop.total.1,prop.total.2,prop.total.3,prop.total.4
21,MCAV185,FTL4,8.24.18,0.319394209,0.001823015,0.317571194,4.87335411,9.11.18,0.282587572,0.005518712,0.27706886,5.76936457,11.8.18,0.275073872,0.004806518,0.270267354,8.10015247,12.17.18,0.277720604,0.000469091,0.277251513,9.39451293,1,0.884761101,0.861236254,0.869522979
22,MCAV186,FTL4,8.24.18,0.338541867,0.001084447,0.33745742,10.5470822,9.11.18,0.323044356,0.003027651,0.320016705,16.1650154,11.8.18,0.308767245,0.000581099,0.308186146,20.0145565,12.17.18,0.313583619,4.07E-05,0.313542878,22.8481613,1,0.954222764,0.912050399,0.926277219
23,MCAV195,T328,8.24.18,0.081498984,0.002424398,0.079074586,5.91653617,9.11.18,0.07263421,0.010415655,0.062218554,16.707881,11.8.18,0.056086827,0.007436924,0.048649903,16.4656705,12.17.18,0.038953728,0.002884842,0.036068886,8.69594158,1,0.891228411,0.688190506,0.477965811
24,MCAV199,T328,8.24.18,0.475530025,0.021362565,0.45416746,7.52694257,9.11.18,0.438282011,0.015492479,0.422789532,8.83880873,11.8.18,0.466048214,0.020492591,0.445555623,11.2193887,12.17.18,0.433165974,0.011527353,0.421638621,15.4489611,1,0.921670532,0.980060542,0.910911932
,,,,,,,,,,,,,,,,,,,,,,,0.982159435,,,
,,,,,,,,,,,,,,,,,,,,,,,0.910202512,,,
,,,,,,,,,,,,,,,,,,,,,,,0.996194434,,,
,,,,,,,,,,,,,,,,,,,,,,,0.941840788,,,
,,,,,,,,,,,,,,,,,,,,,,,0.921991452,,,
,,,,,,,,,,,,,,,,,,,,,,,0.894295238,,,
,,,,,,,,,,,,,,,,,,,,,,,0.996670639,,,
