location,model,face,whole,square,square diff,square error,rectangle,rectangle diff,rectangle error,circle,circle diff,circle error
Pool,pool4,side4,3.99372731,40.8377738,0.5152738,0.01277882,12.8243243,0.0788757,0.00611288,,,
Pool,pool4,side4,3.99372731,41.1575307,0.8350307,0.0207088,8.36235681,4.54084319,0.35191605,,,
Pool,pool4,side4,3.99372731,48.69735,8.37485,0.2076967,13.6898515,0.7866515,0.06096561,46.5736818,0.97000868,0.02127041
Pool,pool4,top,3.99372731,33.7363204,6.5861796,0.16333758,13.6611117,0.7579117,0.05873827,,,
Pool,pool4,top,3.99372731,42.912985,2.590485,0.06424416,13.7043677,0.8011677,0.06209062,54.4973043,8.89363118,0.19502006
Pool,pool4,top,3.99372731,43.1747665,2.8522665,0.07073635,10.0782341,2.8249659,0.2189353,,,
Pool,pool4,top,3.99372731,44.7265781,4.4040781,0.10922136,14.4590609,1.5558609,0.12057946,,,
Pool,pool5,side1,6.30547547,39.86076,0.46174,0.01145117,13.1689223,0.2657223,0.02059352,,,
Pool,pool5,side1,6.30547547,40.0558151,0.2666849,0.0066138,12.1179286,0.7852714,0.06085866,45.8807466,0.27707348,0.00607568
Pool,pool5,side1,6.30547547,41.1800277,0.8575277,0.02126673,11.5787134,1.3244866,0.10264792,,,
Pool,pool5,side1,6.30547547,41.8166456,1.4941456,0.03705488,12.8070623,0.0961377,0.00745069,,,
Pool,pool5,side2,6.30547547,39.9609154,0.3615846,0.00896732,12.8255568,0.0776432,0.00601736,,,
Pool,pool5,side2,6.30547547,40.3065535,0.0159465,0.00039547,9.84751186,3.05568814,0.2368163,,,
Pool,pool5,side2,6.30547547,41.1287999,0.8062999,0.01999628,11.8773841,1.0258159,0.07950089,,,
Pool,pool5,side2,6.30547547,45.2991731,4.9766731,0.12342174,12.739103,0.164097,0.01271754,44.7025756,0.90109752,0.01975932
Pool,pool5,side3,6.30547547,39.1303144,1.1921856,0.02956626,12.964098,0.060898,0.0047196,,,
Pool,pool5,side3,6.30547547,39.2224056,1.1000944,0.0272824,11.6619533,1.2412467,0.09619681,,,
Pool,pool5,side3,6.30547547,40.7132656,0.3907656,0.00969101,12.722818,0.180382,0.01397963,,,
Pool,pool5,side3,6.30547547,42.1992498,1.8767498,0.04654349,12.6751592,0.2280408,0.0176732,42.5142876,3.08938552,0.06774423
Pool,pool5,side4,6.30547547,39.3515737,0.9709263,0.02407902,11.8442642,1.0589358,0.08206769,,,
Pool,pool5,side4,6.30547547,39.671461,0.651039,0.0161458,12.619879,0.283321,0.02195742,45.1685451,0.43512802,0.00954151
Pool,pool5,side4,6.30547547,39.7385806,0.5839194,0.01448123,11.747732,1.155468,0.08954895,,,
Pool,pool5,side4,6.30547547,40.1163006,0.2061994,0.00511376,13.0769819,0.1737819,0.01346812,,,
Pool,pool5,top,6.30547547,40.4761565,0.1536565,0.00381069,12.6529891,0.2502109,0.01939138,,,
Pool,pool5,top,6.30547547,40.6887919,0.3662919,0.00908406,12.9609925,0.0577925,0.00447893,,,
Pool,pool5,top,6.30547547,42.0734918,1.7509918,0.04342468,12.7086852,0.1945148,0.01507493,44.3754362,1.22823692,0.02693285
Pool,pool5,top,6.30547547,42.1036205,1.7811205,0.04417188,13.160891,0.257691,0.01997109,,,
Pool,pool6,side1,4.57030555,39.4818084,0.8406916,0.02084919,13.1918251,0.2886251,0.02236849,45.864536,0.26086288,0.00572022
Pool,pool6,side1,4.57030555,40.1797969,0.1427031,0.00353904,12.9461811,0.0429811,0.00333104,,,
Pool,pool6,side1,4.57030555,40.761575,0.439075,0.01088908,13.6002238,0.6970238,0.05401945,,,
Pool,pool6,side1,4.57030555,40.8435339,0.5210339,0.01292167,11.0837515,1.8194485,0.14100754,,,
Pool,pool6,side2,4.57030555,40.1392431,0.1832569,0.00454478,12.7887464,0.1144536,0.00887017,45.646172,0.04249888,0.00093192
Pool,pool6,side2,4.57030555,40.624541,0.302041,0.00749063,12.7616049,0.1415951,0.01097364,,,
Pool,pool6,side2,4.57030555,40.9015309,0.5790309,0.01436,12.7689535,0.1342465,0.01040412,,,
Pool,pool6,side2,4.57030555,42.3839303,2.0614303,0.05112357,12.0206607,0.8825393,0.06839693,,,
Pool,pool6,side3,4.57030555,39.1229429,1.1995571,0.02974908,12.6150819,0.2881181,0.0223292,44.7552724,0.84840072,0.01860378
Pool,pool6,side3,4.57030555,40.0867878,0.2357122,0.00584567,10.8269322,2.0762678,0.16091108,,,
Pool,pool6,side3,4.57030555,40.9197028,0.5972028,0.01481066,12.3854165,0.5177835,0.0401283,,,
Pool,pool6,side3,4.57030555,41.2811969,0.9586969,0.02377573,13.5813941,0.6781941,0.05256015,,,
Pool,pool6,side4,4.57030555,39.8373622,0.4851378,0.01203144,12.9846121,0.0814121,0.00630945,,,
Pool,pool6,side4,4.57030555,40.3380365,0.0155365,0.00038531,13.1090114,0.2058114,0.01595042,,,
Pool,pool6,side4,4.57030555,40.7975247,0.4750247,0.01178064,12.873945,0.029255,0.00226727,,,
Pool,pool6,side4,4.57030555,43.6061797,3.2836797,0.08143542,12.8561808,0.0470192,0.003644,45.3602873,0.24338582,0.00533698
Pool,pool6,top,4.57030555,40.3588045,0.0363045,0.00090035,13.1244161,0.2212161,0.01714428,,,
Pool,pool6,top,4.57030555,40.7964848,0.4739848,0.01175485,12.5628208,0.3403792,0.02637944,47.3104137,1.70674058,0.03742551
Pool,pool6,top,4.57030555,41.1099927,0.7874927,0.01952986,13.3656071,0.4624071,0.03583662,,,
Pool,pool6,top,4.57030555,41.687212,1.364712,0.03384493,13.1390244,0.2358244,0.01827643,,,
Pool,pool7,side1,4.40857253,39.8073785,0.5151215,0.01277504,13.0570268,0.1538268,0.0119216,,,
Pool,pool7,side1,4.40857253,40.86236,0.53986,0.01338855,12.4999782,0.4032218,0.03124975,,,
Pool,pool7,side1,4.40857253,41.633095,1.310595,0.03250282,11.2627306,1.6404694,0.12713663,,,
Pool,pool7,side1,4.40857253,43.5540934,3.2315934,0.08014368,12.1787314,0.7244686,0.05614643,45.2798134,0.32385972,0.00710161
Pool,pool7,side2,4.40857253,41.5560806,1.2335806,0.03059286,13.0465846,0.1433846,0.01111233,,,
Pool,pool7,side2,4.40857253,41.5934003,1.2709003,0.03151839,13.3211723,0.4179723,0.03239292,,,
Pool,pool7,side2,4.40857253,42.3369174,2.0144174,0.04995765,12.9882589,0.0850589,0.00659208,44.4202671,1.18340602,0.0259498
Pool,pool7,side2,4.40857253,43.9068107,3.5843107,0.08889108,11.8185418,1.0846582,0.08406118,,,
Pool,pool7,side3,4.40857253,37.8678252,2.4546748,0.06087606,12.2982495,0.6049505,0.04688376,46.9140013,1.31032818,0.02873295
Pool,pool7,side3,4.40857253,40.1060601,0.2164399,0.00536772,12.3831334,0.5200666,0.04030524,,,
Pool,pool7,side3,4.40857253,41.391324,1.068824,0.02650689,13.0542782,0.1510782,0.01170858,,,
Pool,pool7,side3,4.40857253,42.5943399,2.2718399,0.05634174,12.5668637,0.3363363,0.02606612,,,
